Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
457,KodaÿGlover,24,WSN,22,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,gloveko01,KodaÿGlover,KodaÿGlover,KodaÿGlover,kodaglover
458,ZackÿGodley,27,ARI,25,53,-12,0,0,0,8,-4,-0.5,0,-4,-0.4,0.482,0.497,-0.4,0,-4,godleza01,ZackÿGodley,ZackÿGodley,ZackÿGodley,zackgodley
459,ErikÿGoeddel,28,NYM,30,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,goedder01,ErikÿGoeddel,ErikÿGoeddel,ErikÿGoeddel,erikgoeddel
460,DavidÿGoforth,28,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,goforda01,DavidÿGoforth,DavidÿGoforth,DavidÿGoforth,davidgoforth
461,LuizÿGohara*,20,ATL,5,10,-3,0,0,0,2,-2,-0.2,0,-2,-0.2,0.469,0.499,-0.2,0,-2,goharlu01,LuizÿGohara*,LuizÿGohara,LuizÿGohara,luizgohara
462,RyanÿGoins*,29,TOR,143,459,-18,1,-1,5,6,-6,-0.6,16,10,1,0.495,0.496,0.5,1.2,5,goinsry01,RyanÿGoins*,RyanÿGoins,RyanÿGoins,ryangoins
464,PaulÿGoldschmidt,29,ARI,155,665,35,4,-1,14,-8,44,4.3,21,65,6.3,0.529,0.527,4.9,0.5,51,goldspa01,PaulÿGoldschmidt,PaulÿGoldschmidt,PaulÿGoldschmidt,paulgoldschmidt
465,YanÿGomes,29,CLE,105,383,-8,1,-1,1,6,-1,0,14,13,1.3,0.499,0.5,1.2,0.8,12,gomesya01,YanÿGomes,YanÿGomes,YanÿGomes,yangomes
466,CarlosÿG¢mez,31,TEX,105,426,1,1,0,-6,2,-1,-0.1,15,14,1.4,0.499,0.499,2,-0.3,20,gomezca01,CarlosÿGomez,CarlosÿGomez,CarlosÿGomez,carlosgomez
467,JeanmarÿG¢mez,29,PHI,17,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,gomezje01,JeanmarÿGomez,JeanmarÿGomez,JeanmarÿGomez,jeanmargomez
468,MiguelÿG¢mez#,24,SFG,22,34,-3,0,0,1,0,-2,-0.2,1,0,-0.1,0.493,0.499,-0.2,0.1,-1,gomezmi01,MiguelÿGomez#,MiguelÿGomez,MiguelÿGomez,miguelgomez
469,RobertoÿG¢mez,27,SFG,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,gomezro01,RobertoÿGomez,RobertoÿGomez,RobertoÿGomez,robertogomez
470,MarcoÿGonzales*,25,2TM,2,3,0,0,0,0,0,1,0.1,0,1,0.1,0.524,0.5,0.1,0,1,gonzama02,MarcoÿGonzales*,MarcoÿGonzales,MarcoÿGonzales,marcogonzales
471,Adri nÿGonz lez*,35,LAD,71,252,-11,-2,0,-1,-3,-17,-1.8,8,-9,-1,0.475,0.489,-0.9,-0.4,-8,gonzaad01,AdrianÿGonzalez*,AdrianÿGonzalez,AdrianÿGonzalez,adriangonzalez
472,CarlosÿGonz lez*,31,COL,136,534,-11,0,1,-2,-5,-18,-1.9,17,0,-0.2,0.487,0.489,0,-0.8,2,gonzaca01,CarlosÿGonzalez*,CarlosÿGonzalez,CarlosÿGonzalez,carlosgonzalez
473,ErikÿGonz lez,25,CLE,60,115,-5,0,0,1,1,-3,-0.3,4,1,0.1,0.495,0.498,0,0.3,0,gonzaer01,ErikÿGonzalez,ErikÿGonzalez,ErikÿGonzalez,erikgonzalez
474,GioÿGonzalez,31,WSN,30,75,-14,0,0,0,12,-2,-0.2,0,-2,-0.2,0.493,0.499,-0.2,0,-2,gonzagi01,GioÿGonzalez,GioÿGonzalez,GioÿGonzalez,giogonzalez
475,MarwinÿGonz lez#,28,HOU,134,515,29,-1,0,-6,-1,21,2.1,18,39,3.9,0.515,0.513,4.5,-0.6,45,gonzama01,MarwinÿGonzalez#,MarwinÿGonzalez,MarwinÿGonzalez,marwingonzalez
476,MiguelÿGonz lez,33,2TM,4,8,-2,0,0,0,1,0,0,0,0,0,0.498,0.5,0,0,0,gonzami03,MiguelÿGonzalez,MiguelÿGonzalez,MiguelÿGonzalez,miguelgonzalez
477,NikoÿGoodrum#,25,MIN,11,18,-4,0,0,1,0,-3,-0.3,1,-2,-0.2,0.475,0.498,-0.3,0.1,-3,goodrni01,NikoÿGoodrum#,NikoÿGoodrum,NikoÿGoodrum,nikogoodrum
478,BrianÿGoodwin*,26,WSN,74,278,2,0,0,-6,-1,-5,-0.5,9,4,0.3,0.494,0.497,1,-0.7,10,goodwbr01,BrianÿGoodwin*,BrianÿGoodwin,BrianÿGoodwin,briangoodwin
479,NickÿGoody,25,CLE,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,goodyni01,NickÿGoody,NickÿGoody,NickÿGoody,nickgoody
480,AlexÿGordon*,33,KCR,148,541,-26,0,1,9,-5,-20,-2,19,-1,-0.2,0.486,0.487,-1.1,0.4,-10,gordoal01,AlexÿGordon*,AlexÿGordon,AlexÿGordon,alexgordon
481,TerranceÿGore,26,KCR,12,5,-1,-1,0,-1,-1,-3,-0.3,0,-3,-0.3,0.475,0.498,-0.2,-0.2,-2,gorete01,TerranceÿGore,TerranceÿGore,TerranceÿGore,terrancegore
