Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names ,clean_end,no_period,clean_name 
911,RyanÿO'Rourke,31,NYM,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,orourry01,RyanÿO'Rourke,RyanÿO'Rourke,RyanÿO'Rourke,ryano'rourke
912,ScottÿOberg,29,COL,45,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,obergsc01,ScottÿOberg,ScottÿOberg,ScottÿOberg,scottoberg
913,RougnedÿOdor*,25,TEX,145,581,-19,-4,2,-8,3,-25,-2.2,21,-4,-0.3,0.483,0.485,0.4,-0.3,4,odorro01,RougnedÿOdor*,RougnedÿOdor,RougnedÿOdor,rougnedodor
914,JakeÿOdorizzi,29,MIN,3,3,-1,0,0,0,0,0,0,0,0,0,0.488,0.5,0,0,0,odorija01,JakeÿOdorizzi,JakeÿOdorizzi,JakeÿOdorizzi,jakeodorizzi
915,SeunghwanÿOh,36,COL,20,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,ohse01,SeunghwanÿOh,SeunghwanÿOh,SeunghwanÿOh,seunghwanoh
916,ShoheiÿOhtani*,24,LAA,106,425,14,0,3,0,-8,9,1,15,24,2.5,0.508,0.505,2.4,-0.7,24,ohtansh01,ShoheiÿOhtani*,ShoheiÿOhtani,ShoheiÿOhtani,shoheiohtani
917,MattÿOlson*,25,OAK,127,547,26,-1,-1,12,-7,29,3,19,49,4.9,0.522,0.517,3.6,0.7,37,olsonma02,MattÿOlson*,MattÿOlson,MattÿOlson,mattolson
918,TylerÿOlson,29,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,olsonty01,TylerÿOlson,TylerÿOlson,TylerÿOlson,tylerolson
919,RafaelÿOrtega*,28,ATL,34,96,-7,1,0,1,-1,-7,-0.7,3,-4,-0.4,0.48,0.496,-0.5,0,-4,ortegra01,RafaelÿOrtega*,RafaelÿOrtega,RafaelÿOrtega,rafaelortega
921,JoshÿOsich*,30,CHW,5,1,0,0,0,0,0,0,0,0,0,0,0.503,0.5,0,0,0,osichjo01,JoshÿOsich*,JoshÿOsich,JoshÿOsich,joshosich
922,Jos‚ÿOsuna,26,PIT,95,285,-1,0,0,-5,-2,-9,-1.1,9,0,-0.2,0.49,0.494,0.4,-0.8,5,osunajo01,JoseÿOsuna,JoseÿOsuna,JoseÿOsuna,joseosuna
923,RobertoÿOsuna,24,HOU,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,osunaro01,RobertoÿOsuna,RobertoÿOsuna,RobertoÿOsuna,robertoosuna
924,CoreyÿOswalt,25,NYM,2,3,-1,0,0,0,0,0,0,0,0,0,0.482,0.5,0,0,0,oswalco01,CoreyÿOswalt,CoreyÿOswalt,CoreyÿOswalt,coreyoswalt
925,DanÿOtero,34,CLE,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,oteroda01,DanÿOtero,DanÿOtero,DanÿOtero,danotero
926,AdamÿOttavino#,33,NYY,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,ottavad01,AdamÿOttavino#,AdamÿOttavino,AdamÿOttavino,adamottavino
927,ChrisÿOwings,27,2TM,66,196,-22,0,1,2,1,-18,-1.7,7,-11,-1.1,0.473,0.494,-1.3,0.4,-13,owingch01,ChrisÿOwings,ChrisÿOwings,ChrisÿOwings,chrisowings
928,MarcellÿOzuna,28,STL,130,549,7,4,-1,3,-5,8,0.5,18,25,2.3,0.506,0.505,2.1,-0.3,22,ozunama01,MarcellÿOzuna,MarcellÿOzuna,MarcellÿOzuna,marcellozuna
929,ChrisÿPaddack,23,SDP,25,46,-9,0,0,0,7,-2,-0.2,0,-2,-0.2,0.494,0.499,-0.2,0,-2,paddach01,ChrisÿPaddack,ChrisÿPaddack,ChrisÿPaddack,chrispaddack
930,EmilioÿPag n*,28,TBR,5,1,0,0,0,0,0,0,0,0,0,0,0.498,0.5,0,0,0,paganem01,EmilioÿPagan*,EmilioÿPagan,EmilioÿPagan,emiliopagan
931,DanielÿPalka*,27,CHW,30,93,-12,0,0,-4,-1,-18,-1.8,3,-15,-1.4,0.44,0.489,-1.1,-0.5,-11,palkada01,DanielÿPalka*,DanielÿPalka,DanielÿPalka,danielpalka
933,JoeÿPanik*,28,2TM,142,491,-15,-3,1,-7,3,-20,-2.3,16,-4,-0.7,0.485,0.49,0.1,-0.5,3,panikjo01,JoeÿPanik*,JoeÿPanik,JoeÿPanik,joepanik
934,ThomasÿPannone*,25,TOR,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,pannoth01,ThomasÿPannone*,ThomasÿPannone,ThomasÿPannone,thomaspannone
935,BlakeÿParker,34,2TM,24,1,0,0,0,0,0,0,0,0,0,0,0.499,0.5,0,0,0,parkebl01,BlakeÿParker,BlakeÿParker,BlakeÿParker,blakeparker
