Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
1202,CoreyÿSeager*,28,TEX,151,663,9,2,0,-4,8,16,1.7,22,38,0.511,0.51,4.3,0.4,42,seageco01,CoreyÿSeager*,CoreyÿSeager,CoreyÿSeager,coreyseager
1205,JeanÿSegura,32,PHI,98,387,4,0,-1,-1,3,5,0.6,13,18,0.505,0.503,1.9,0.3,19,segurje01,JeanÿSegura,JeanÿSegura,JeanÿSegura,jeansegura
1207,MarcusÿSemien,31,TEX,161,724,9,5,1,10,6,31,3.3,23,54,0.521,0.521,4.5,1.7,44,semiema01,MarcusÿSemien,MarcusÿSemien,MarcusÿSemien,marcussemien
1209,NickÿSenzel,27,CIN,110,420,-14,-1,0,-11,3,-24,-2.5,14,-10,0.477,0.484,0,-0.8,1,senzeni01,NickÿSenzel,NickÿSenzel,NickÿSenzel,nicksenzel
1210,BrianÿServen,27,COL,62,205,-10,-1,0,0,4,-7,-0.7,7,0,0.489,0.496,-0.1,0.4,0,servebr01,BrianÿServen,BrianÿServen,BrianÿServen,brianserven
1211,AndersonÿSeverino*,27,CHW,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,severan01,AndersonÿSeverino*,AndersonÿSeverino,AndersonÿSeverino,andersonseverino
1213,PedroÿSeverino,28,MIL,8,21,0,0,0,0,0,0,0,1,0,0.496,0.5,0,0,0,severpe01,PedroÿSeverino,PedroÿSeverino,PedroÿSeverino,pedroseverino
1214,PaulÿSewald,32,SEA,3,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,sewalpa01,PaulÿSewald,PaulÿSewald,PaulÿSewald,paulsewald
1215,BryanÿShaw#,34,CLE,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,shawbr01,BryanÿShaw#,BryanÿShaw,BryanÿShaw,bryanshaw
1216,TravisÿShaw*,32,BOS,7,19,-5,0,0,-1,0,-6,-0.7,1,-6,0.398,0.496,-0.6,-0.2,-5,shawtr01,TravisÿShaw*,TravisÿShaw,TravisÿShaw,travisshaw
1217,GavinÿSheets*,26,CHW,124,410,0,-1,-1,-9,-5,-16,-1.7,14,-2,0.486,0.489,0.7,-1.6,7,sheetga01,GavinÿSheets*,GavinÿSheets,GavinÿSheets,gavinsheets
1220,ZackÿShort,27,DET,6,13,-2,1,0,0,0,-1,-0.2,0,-1,0.474,0.499,-0.1,0,-1,shortza01,ZackÿShort,ZackÿShort,ZackÿShort,zackshort
1221,ChasenÿShreve*,31,NYM,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,shrevch01,ChasenÿShreve*,ChasenÿShreve,ChasenÿShreve,chasenshreve
1222,MichaelÿSiani*,22,CIN,9,24,-3,0,0,0,0,-4,-0.4,1,-3,0.454,0.497,-0.3,0,-3,sianimi01,MichaelÿSiani*,MichaelÿSiani,MichaelÿSiani,michaelsiani
1223,MagneurisÿSierra*,26,LAA,45,96,-10,1,0,1,0,-7,-0.8,3,-4,0.482,0.495,-0.6,0.1,-5,sierrma01,MagneurisÿSierra*,MagneurisÿSierra,MagneurisÿSierra,magneurissierra
1225,AndreltonÿSimmons,32,CHC,34,85,-8,1,0,3,1,-3,-0.4,3,-1,0.489,0.498,-0.4,0.5,-4,simmoan01,AndreltonÿSimmons,AndreltonÿSimmons,AndreltonÿSimmons,andreltonsimmons
1228,JoseÿSiri,26,2TM,104,325,-11,4,1,7,2,2,0.2,11,13,0.502,0.501,0.6,1,6,sirijo01,JoseÿSiri,JoseÿSiri,JoseÿSiri,josesiri
